,title,d23_link,summary
1027,Just Mickey,a-to-z/just-mickey-film/,"Mickey Mouse cartoon; released on April 21, 1930, featuring Mickey as a violinist. Copyrighted as Fiddlin' Around. Directed by Walt Disney. One of Mickey's musical adventures, in which he is an eager violinist with a full head of unruly hair who stops his playing only to talk to the movie audience."
1028,Just Visiting,a-to-z/just-visiting-film/,"French nobleman, Count Thibault of Malfete, with his servant Andre, are transported from the 12th century to modern-day Chicago, due to a wizard's flawed time-travel potion. After meeting the count's descendant, Julia Malfete, they realize that they must quickly find a way back to their own time, or Julia and all of Thibault's lineage will never exist. Thibault and Andre wreak havoc as they foil diabolical plots in both the 12th and 21st centuries. A Hollywood Picture. Directed by Jean-Marie Gaubert. Released on April 6, 2001. Stars Jean Reno (Thibault), Christian Clavier (Andre), Christina Applegate (Julia Malfete/Rosalinda), Matt Ross (Hunter), Tara Reid (Angelique), Bridgette Wilson (Amber), Malcolm McDowell (Wizard). 88 min. Location filming, in CinemaScope, was done in Chicago and England. Based on the 1993 French comedy Les Visiteurs. The director, along with stars Reno and Clavier, reprised their roles from that film. Released on video in 2001."
1029,"Karnival Kid, The",a-to-z/karnival-kid-the-film/,"First Mickey Mouse cartoon in which Mickey speaks; released in 1929. Directed by Walt Disney. Enjoying his day selling hot dogs in an amusement park, Mickey, along with his friends, serenades Minnie, who is working as a ""shimmy dancer."""
1030,Kazaam,a-to-z/kazaam-film/,"Life in the city can be pretty tough, especially for 12-year-old Max Connor, whose mother has raised him alone since her husband left when Max was two. To make things worse, Max's mother has found love again with Travis, a kindly firefighter who cannot seem to make friends with Max. Distraught by his mother's impending marriage, Max demands to meet his real father. To add to Max's complicated life, he is the object of torture by a local group of bullies and one day, while hiding in an abandoned building, he accidentally opens the door on a battered boom box, freeing a seven-foot, 3,000-year-old genie, Kazaam. While Max initially does not believe in magic, Kazaam, in trying to give the kid his three wishes, soon makes him a believer. Released on July 17, 1996. A Touchstone Picture. Directed by Paul Michael Glaser. Stars Shaquille O'Neal (Kazaam), Francis Capra (Max), Ally Walker (Alice), James Acheson (Nick). 93 min. The production filmed in Los Angeles, California. Released on video in 1996."
1031,Keeping the Faith,a-to-z/keeping-the-faith-film/,"Best friends since they were kids, Rabbi Jacob Schram and Father Brian Finn are dynamic and popular young men living and working on New York's Upper West Side. When Anna Reilly, once their childhood friend and now grown into a beautiful corporate executive, suddenly returns to the city, she reenters Jake's and Brian's lives with a vengeance. Sparks fly and an unusual and complicated love triangle ensues. A Touchstone Pictures/Spyglass Entertainment production. Released on April 14, 2000. Directed by Edward Norton. Stars Edward Norton (Brian Finn), Jenna Elfman (Anna Reilly), Ben Stiller (Jacob Schram), Anne Bancroft (Ruth Schram), Eli Wallach (Rabbi Lewis), Milos Forman (Father Havel), Holland Taylor (Bonnie Rose), Ron Rifkin (Larry Friedman). 129 min. Filming in New York City, the producers selected for the locations where the two lead actors worked, B'nai Jeshurun on West 88th and the Church of the Ascension on West 107th. Released on video in 2000."
1032,Khoobsurat,a-to-z/khoobsurat/,"A film in Hindi produced by Disney in India. A hopelessly romantic physiotherapist meets a handsome young prince, who happens to be engaged to someone else. It leads to a battle of values between two unique families-one encouraging discipline and the other spontaneity. Released in India on September 19, 2014. Directed by Shashanka Ghosh. Stars Sonam Kapoor (Dr. Milli Chakravarty), Fawad Afzal Khan (Vikram Rathore). A remake of a 1980 film of the same name. Produced for Disney by the Anil Kapoor Film Company."
1033,"Kid in King Arthur's Court, A",a-to-z/kid-in-king-arthurs-court-a-film/,"An earthquake occurs during a Little League game in Southern California, and 14-year-old Calvin Fuller, playing for a team known as the Knights, falls through a crack in the earth and is inexplicably thrust back in time to the mythical medieval kingdom of Camelot and the court of the legendary King Arthur. Calvin discovers that he has been summoned to the 12th century by Merlin to help restore Arthur's fading glory, and to prevent the realm from falling into the clutches of the sinister Lord Belasco. Calvin must find the courage to face Belasco and prove to himself that he has what it takes to be a worthy knight. Directed by Michael Gottlieb. A Walt Disney Picture in association with Tapestry Films and Trimark Pictures. Released on August 11, 1995. 90 min. Stars Thomas Ian Nicholas (Calvin Fuller), Joss Ackland (King Arthur), Ron Moody (Merlin), Art Malik (Lord Belasco). Kate Winslet, before becoming famous for her role in Titanic, played the role of Princess Sarah. To gain an authentic look, the producers decided to film in and around Budapest, Hungary. There they found a medieval castle and village set being used by a BBC television series that was on hiatus for the season. With a little redressing and redesigning, the set was just right. The production was truly international, for a final scene was filmed in England, the music was scored in Prague, and the final sound mix was done in Australia. An interesting bit of trivia-Ron Moody, who plays Merlin, played the same role for Disney 16 years earlier in Unidentified Flying Oddball. Released on video in 1996. A sequel, A Kid in Aladdin's Palace (1997), with Thomas Ian Nicholas reprising his role as Calvin Fuller, was made as a direct-to-video film by Trimark, and had its world television premiere on Disney Channel in March 1999."
1034,Kidnapped,a-to-z/kidnapped-film/,"Young David Balfour attempts to regain his rightful inheritance, the house, and lands of Shaws in Scotland, and in doing so is nearly killed and then kidnapped due to his treacherous Uncle Ebenezer. But the doughty Scottish laird, Alan Breck Stewart, takes a hand and after a shipwreck, hairbreadth escapes, and a chase the length of the Highlands, David, with Alan's help, confronts his uncle and recovers his estate. Released February 24, 1960. Directed by Robert Stevenson. Although publicists tried to prove otherwise, the director insisted there was no relation between him and the Robert Louis Stevenson who wrote this classic adventure story. 94 min. Stars James MacArthur (David Balfour), Peter Finch (Alan Breck Stewart), Bernard Lee (Capt. Hoseason), Niall MacGinnis (Shaun), John Laurie (Uncle Ebenezer), Finlay Currie (Cluny MacPherson), and the then unknown Peter O'Toole (Robin Og MacGregor). Released on video in 1983 and 1992."
1035,Kim Possible: The Secret Files,a-to-z/kim-possible-the-secret-files-film/,"Direct-to-video movie released on September 2, 2003, consisting of episodes from the television series (including one never-aired episode). A computer-generated Rufus (the naked molerat) serves as host. Directed by Chris Bailey and David Block. Voices include Christy Carlson Romano (Kim), Will Friedle (Ron), Nancy Cartwright (Rufus), Tahj Mowry (Wade). 71 min."
1036,King Arthur,a-to-z/king-arthur-film/,"A reluctant leader, Arthur wishes only to leave Britain and return to the peace and stability of Rome. Before he can, one final mission leads him and his Knights of the Round Table-Lancelot, Galahad, Bors, Tristan, and Gawain-to the conclusion that when Rome is gone, Britain will need a leader to fill the vacuum. Under the guidance of Merlin, a former enemy, and with the beautiful Guinevere by his side, Arthur will have to find the strength within himself to change the course of history and lead Britain into a new age. A story of chivalry, bravery, and one man's destiny, being a fresh look at the origins of the legendary hero. A Jerry Bruckheimer Films/Touchstone Picture. Released on July 7, 2004, after a June 28 world premiere at the Ziegfeld Theater in New York. Directed by Antoine Fuqua. Stars Clive Owen (Arthur), Keira Knightley (Guinevere), Ioan Gruffudd (Lancelot), Steven Dillane (Merlin), Ray Winstone (Bors), Til Schweiger (Cynric), Stellan Skarsgard (Cerdic), Hugh Dancy (Galahad), Mads Mikkelsen (Tristan), Ray Stevenson (Dagonet), Ken Stott (Marius Honorius). 126 min. Filmed in Ireland, in CinemaScope. Released on video in 2004."
1037,King Neptune,a-to-z/king-neptune-film/,"Silly Symphony cartoon; released on September 10, 1932. Directed by Burt Gillett. When pirates cruelly capture a mermaid, the underwater denizens come to the rescue, alerting King Neptune who stirs up a storm at sea, sinking the pirates and rescuing the mermaid who has discovered the pirates' treasure."
1038,King of the Grizzlies,a-to-z/king-of-the-grizzlies-film/,"Ernest Thompson Seton, the well-known American artist and author, tells the story of Wahb, a mighty grizzly who roamed the Greybull country of the old West. A Cree Indian, Moki, befriends Wahb as a cub, and, in later years, the Indian and the bear have many strange encounters, but always recognize each other as ""brothers."" Released on February 11, 1970. Directed by Ron Kelly. 93 min. Stars John Yesno (Moki), Chris Wiggins (Colonel), Hugh Webster (Shorty), Jan Van Evera (Slim). Based on The Biography of a Grizzly, by Ernest Thompson Seton, the film is narrated by Winston Hibler, who also produced. Lloyd Beebe, long involved with many of the Disney's nature films, supervised the film as field producer. The star of the film, Big Ted, the grizzly, was a 7-year-old, 10-foot tall, 1, 300-pound bear who completed many of his scenes for the reward of his favorite food, marshmallows. Much of the filming was done over a two year period on location in the Canadian Rockies of Alberta and British Columbia, including Moraine Lake, within Banff National Park, Yoho National Park, and the Kananaskis River and forest. Released on video in 1986."
